PARTY_ID,TYPE,VOTES_PERCENT,UPDATE_STATUS,UPDATE_TIME
LV10,PARTY,6.16,PROVISIONAL,2024-06-11 15:52
LV11,PARTY,1.98,PROVISIONAL,2024-06-11 15:52
LV12,PARTY,2.62,PROVISIONAL,2024-06-11 15:52
LV13,PARTY,2.13,PROVISIONAL,2024-06-11 15:52
LV14,PARTY,1.71,PROVISIONAL,2024-06-11 15:52
LV90,PARTY,2.02,PROVISIONAL,2024-06-11 15:52
MT01,PARTY,45.26,FINAL,2024-06-10 00:17
MT02,PARTY,42.02,FINAL,2024-06-10 00:17
MT90,PARTY,12.72,FINAL,2024-06-10 00:17
NL01,PARTY,21.6,PROVISIONAL,2024-06-11 15:52
NL02,PARTY,11.6,PROVISIONAL,2024-06-11 15:52
NL03,PARTY,9.7,PROVISIONAL,2024-06-11 15:52
NL04,PARTY,2.5,PROVISIONAL,2024-06-11 15:52
NL05,PARTY,8.1,PROVISIONAL,2024-06-11 15:52
NL06,PARTY,2.7,PROVISIONAL,2024-06-11 15:52
NL07,PARTY,3.4,PROVISIONAL,2024-06-11 15:52
NL08,PARTY,4.4,PROVISIONAL,2024-06-11 15:52
NL09,PARTY,17.7,PROVISIONAL,2024-06-11 15:52
NL10,PARTY,2.0,PROVISIONAL,2024-06-11 15:52
NL11,PARTY,4.9,PROVISIONAL,2024-06-11 15:52
NL12,PARTY,0.7,PROVISIONAL,2024-06-11 15:52
NL13,PARTY,3.8,PROVISIONAL,2024-06-11 15:52
NL14,PARTY,5.3,PROVISIONAL,2024-06-11 15:52
NL90,PARTY,1.6,PROVISIONAL,2024-06-11 15:52
PL01,PARTY,36.16,FINAL,2024-06-10 09:01
PL02,PARTY,37.06,FINAL,2024-06-10 09:01
PL03,PARTY,6.3,FINAL,2024-06-10 09:01
PL04,PARTY,12.08,FINAL,2024-06-10 09:01
PL05,PARTY,6.91,FINAL,2024-06-10 09:01
PL06,PARTY,0.93,FINAL,2024-06-10 09:01
PL90,PARTY,0.56,FINAL,2024-06-10 09:01
PT01,PARTY,32.08,PROVISIONAL,2024-06-11 15:52
PT02,PARTY,31.11,PROVISIONAL,2024-06-11 15:52
PT03,PARTY,4.26,PROVISIONAL,2024-06-11 15:52
PT04,PARTY,4.12,PROVISIONAL,2024-06-11 15:52
PT05,PARTY,1.22,PROVISIONAL,2024-06-11 15:52
PT06,PARTY,3.76,PROVISIONAL,2024-06-11 15:52
PT07,PARTY,9.07,PROVISIONAL,2024-06-11 15:52
PT08,PARTY,9.79,PROVISIONAL,2024-06-11 15:52
PT90,PARTY,4.59,PROVISIONAL,2024-06-11 15:52
RO01,PARTY,48.7,PROVISIONAL,2024-06-11 15:52
RO02,PARTY,3.67,PROVISIONAL,2024-06-11 15:52
RO03,PARTY,6.63,PROVISIONAL,2024-06-11 15:52
RO04,PARTY,14.9,PROVISIONAL,2024-06-11 15:52
RO06,PARTY,5.04,PROVISIONAL,2024-06-11 15:52
RO07,PARTY,8.58,PROVISIONAL,2024-06-11 15:52
RO08,PARTY,3.04,PROVISIONAL,2024-06-11 15:52
RO90,PARTY,9.44,PROVISIONAL,2024-06-11 15:52
SE01,PARTY,24.8,PROVISIONAL,2024-06-11 12:00
SE02,PARTY,17.6,PROVISIONAL,2024-06-11 12:00
SE03,PARTY,13.2,PROVISIONAL,2024-06-11 12:00
SE04,PARTY,13.8,PROVISIONAL,2024-06-11 12:00
SE05,PARTY,7.3,PROVISIONAL,2024-06-11 12:00
SE06,PARTY,5.7,PROVISIONAL,2024-06-11 12:00
SE07,PARTY,11.0,PROVISIONAL,2024-06-11 12:00
SE08,PARTY,4.4,PROVISIONAL,2024-06-11 12:00
SE90,PARTY,2.2,PROVISIONAL,2024-06-11 12:00
SI01,PARTY,30.64,PROVISIONAL,2024-06-11 15:52
SI02,PARTY,7.22,PROVISIONAL,2024-06-11 15:52
SI03,PARTY,7.74,PROVISIONAL,2024-06-11 15:52
SI04,PARTY,7.66,PROVISIONAL,2024-06-11 15:52
SI05,PARTY,4.75,PROVISIONAL,2024-06-11 15:52
SI06,PARTY,22.16,PROVISIONAL,2024-06-11 15:52
SI07,PARTY,10.52,PROVISIONAL,2024-06-11 15:52
SI08,PARTY,3.97,PROVISIONAL,2024-06-11 15:52
SI09,PARTY,2.22,PROVISIONAL,2024-06-11 15:52
SI10,PARTY,1.59,PROVISIONAL,2024-06-11 15:52
SI90,PARTY,1.53,PROVISIONAL,2024-06-11 15:52
SK01,PARTY,24.76,FINAL,2024-06-10 09:01
SK02,PARTY,0.48,FINAL,2024-06-10 09:01
SK03,PARTY,4.92,FINAL,2024-06-10 09:01
SK04,PARTY,27.81,FINAL,2024-06-10 09:01
